Point, Voltage_V
1, 2.507331
2, 2.507331
3, 2.507331
4, 2.507331
5, 2.507331
6, 2.507331
7, 2.502444
8, 2.507331
9, 2.507331
10, 2.507331
11, 2.507331
12, 2.507331
13, 2.507331
14, 2.507331
15, 2.507331
16, 2.502444
17, 2.507331
18, 2.507331
19, 2.507331
20, 2.507331
21, 2.507331
22, 2.507331
23, 2.507331
24, 2.507331
25, 2.507331
26, 2.507331
27, 2.507331
28, 2.507331
29, 2.507331
30, 2.507331
31, 2.512219
32, 2.502444
33, 2.507331
34, 2.507331
35, 2.507331
36, 2.507331
37, 2.507331
38, 2.507331
39, 2.507331
40, 2.507331
41, 2.512219
42, 2.507331
43, 2.507331
44, 2.507331
45, 2.507331
46, 2.507331
47, 2.507331
48, 2.507331
49, 2.507331
50, 2.507331
51, 2.507331
52, 2.507331
53, 2.507331
54, 2.507331
55, 2.512219
56, 2.507331
57, 2.507331
58, 2.507331
59, 2.507331
60, 2.507331
61, 2.507331
62, 2.507331
63, 2.507331
64, 2.512219
65, 2.507331
66, 2.507331
67, 2.507331
68, 2.507331
69, 2.507331
70, 2.507331
71, 2.512219
72, 2.507331
73, 2.507331
74, 2.507331
75, 2.507331
76, 2.507331
77, 2.507331
78, 2.512219
79, 2.507331
80, 2.512219
81, 2.507331
82, 2.507331
83, 2.507331
84, 2.507331
85, 2.507331
86, 2.507331
87, 2.507331
88, 2.507331
89, 2.507331
90, 2.507331
91, 2.507331
92, 2.507331
93, 2.507331
94, 2.507331
95, 2.507331
96, 2.507331
97, 2.507331
98, 2.507331
99, 2.507331
100, 2.507331
