time_s,temperature_C,pwm,heat_cool
0.50,21.86,0,0
1.00,21.87,0,0
1.50,21.87,0,0
2.00,21.87,0,0
2.50,21.88,0,0
3.00,21.89,0,0
3.50,21.89,0,0
4.00,21.90,0,0
4.50,21.90,0,0
5.00,21.91,0,0
5.50,21.91,0,0
6.00,21.92,0,0
6.50,21.92,0,0
7.00,21.93,0,0
7.50,21.93,0,0
8.00,21.93,0,0
8.50,21.94,0,0
9.00,21.94,0,0
9.50,21.95,0,0
10.00,21.95,0,0
10.50,21.96,0,0
11.00,21.96,0,0
11.50,21.97,0,0
12.00,21.97,0,0
12.50,21.98,0,0
13.00,21.98,0,0
13.50,21.98,0,0
14.00,21.99,0,0
14.50,21.99,0,0
15.00,21.99,0,0
15.50,21.99,0,0
16.00,22.00,0,0
16.50,22.00,0,0
17.00,22.00,0,0
17.50,22.00,0,0
18.00,22.01,0,0
18.50,22.01,0,0
19.00,22.01,0,0
19.50,22.01,0,0
20.00,22.02,0,0
20.50,22.02,0,0
21.00,22.02,0,0
21.50,22.03,0,0
22.00,22.03,0,0
22.50,22.03,0,0
23.00,22.04,0,0
23.50,22.04,0,0
24.00,22.05,0,0
24.50,22.05,0,0
25.00,22.06,0,1
25.50,22.06,0,1
26.00,22.06,40,1
26.50,22.07,40,1
27.00,22.07,40,1
27.50,22.09,40,1
28.00,22.13,40,1
28.50,22.18,40,1
29.00,22.23,40,1
29.50,22.30,40,1
30.00,22.38,40,1
30.50,22.47,40,1
31.00,22.55,40,1
31.50,22.65,40,1
32.00,22.75,40,1
32.50,22.86,40,1
33.00,22.97,40,1
33.50,23.07,40,1
34.00,23.19,40,1
34.50,23.30,40,1
35.00,23.42,40,1
35.50,23.52,40,1
36.00,23.64,40,1
36.50,23.74,40,1
37.00,23.86,40,1
37.50,23.97,40,1
38.00,24.08,40,1
38.50,24.19,40,1
39.00,24.30,40,1
39.50,24.41,40,1
40.00,24.52,40,1
40.50,24.63,40,1
41.00,24.73,40,1
41.50,24.84,40,1
42.00,24.95,40,1
42.50,25.05,40,1
43.00,25.16,40,1
43.50,25.26,40,1
44.00,25.36,40,1
44.50,25.46,40,1
45.00,25.56,40,1
45.50,25.66,40,1
46.00,25.75,40,1
46.50,25.85,40,1
47.00,25.95,40,1
47.50,26.05,40,1
48.00,26.16,40,1
48.50,26.26,40,1
49.00,26.36,40,1
49.50,26.45,40,1
50.00,26.55,40,1
50.50,26.64,40,1
51.00,26.73,40,1
51.50,26.82,40,1
52.00,26.90,40,1
52.50,26.99,40,1
53.00,27.07,40,1
53.50,27.15,40,1
54.00,27.23,40,1
54.50,27.32,40,1
55.00,27.40,40,1
55.50,27.48,40,1
56.00,27.55,40,1
56.50,27.63,40,1
57.00,27.71,40,1
57.50,27.79,40,1
58.00,27.87,40,1
58.50,27.95,40,1
59.00,28.02,40,1
59.50,28.10,40,1
60.00,28.17,40,1
60.50,28.25,40,1
61.00,28.32,40,1
61.50,28.39,40,1
62.00,28.46,40,1
62.50,28.54,40,1
63.00,28.61,40,1
63.50,28.68,40,1
64.00,28.75,40,1
64.50,28.82,40,1
65.00,28.90,40,1
65.50,28.97,0,0
66.00,29.04,0,0
66.50,29.11,0,0
67.00,29.17,0,0
67.50,29.22,0,0
68.00,29.26,0,0
68.50,29.28,0,0
69.00,29.30,0,0
69.50,29.31,0,0
70.00,29.30,0,0
70.50,29.28,0,0
71.00,29.25,0,0
71.50,29.22,0,0
72.00,29.18,0,0
72.50,29.15,0,0
73.00,29.11,0,0
73.50,29.08,0,0
74.00,29.05,0,0
74.50,29.02,0,0
75.00,28.99,0,0
75.50,28.96,0,0
76.00,28.93,0,0
76.50,28.90,0,0
77.00,28.86,0,0
77.50,28.83,0,0
78.00,28.78,0,0
78.50,28.73,0,0
79.00,28.69,0,0
79.50,28.63,0,0
80.00,28.57,0,0
80.50,28.52,0,0
81.00,28.46,0,0
81.50,28.40,0,0
82.00,28.35,0,0
82.50,28.29,0,0
83.00,28.23,0,0
83.50,28.18,0,0
84.00,28.13,0,0
84.50,28.07,0,0
85.00,28.02,0,0
85.50,27.97,0,0
86.00,27.92,0,0
86.50,27.87,0,0
87.00,27.83,0,0
87.50,27.78,0,0
88.00,27.73,0,0
88.50,27.68,40,0
89.00,27.64,40,0
89.50,27.59,40,0
90.00,27.54,40,0
90.50,27.50,40,0
91.00,27.43,40,0
91.50,27.37,40,0
92.00,27.30,40,0
92.50,27.25,40,0
93.00,27.18,40,0
93.50,27.12,40,0
94.00,27.05,40,0
94.50,26.98,40,0
95.00,26.91,40,0
95.50,26.85,40,0
96.00,26.78,40,0
96.50,26.72,40,0
97.00,26.65,40,0
97.50,26.58,40,0
98.00,26.51,40,0
98.50,26.44,40,0
99.00,26.38,40,0
99.50,26.31,40,0
100.00,26.25,40,0
100.50,26.19,40,0
101.00,26.12,40,0
101.50,26.06,40,0
102.00,26.00,40,0
102.50,25.94,40,0
103.00,25.88,40,0
103.50,25.82,40,0
104.00,25.76,40,0
104.50,25.71,40,0
105.00,25.66,40,0
105.50,25.61,40,0
106.00,25.56,40,0
106.50,25.50,40,0
107.00,25.45,40,0
107.50,25.41,40,0
108.00,25.36,40,0
108.50,25.31,40,0
109.00,25.26,40,0
109.50,25.20,40,0
110.00,25.15,40,0
110.50,25.10,40,0
111.00,25.04,40,0
