time_s,temperature_C,pwm,heat_cool
0.56,21.17,0,0
1.14,21.17,0,0
1.72,21.17,0,0
2.30,21.17,0,0
2.87,21.17,0,0
3.45,21.17,0,0
4.03,21.17,0,0
4.61,21.17,0,0
5.19,21.17,0,0
5.77,21.17,0,0
6.34,21.17,0,0
6.92,21.17,0,0
7.50,21.17,0,0
8.08,21.17,0,0
8.66,21.17,0,0
9.24,21.17,0,0
9.82,21.17,0,0
10.40,21.17,0,0
10.98,21.17,0,0
11.55,21.17,0,0
12.13,21.17,0,0
12.71,21.17,0,0
13.29,21.17,0,0
13.87,21.17,0,0
14.45,21.17,0,0
15.03,21.17,0,0
15.61,21.17,0,0
16.19,21.17,0,0
16.77,21.17,0,0
17.35,21.17,0,0
17.93,21.17,0,0
18.51,21.17,0,0
19.09,21.17,0,0
19.67,21.17,0,0
20.25,21.17,0,0
20.83,21.17,0,0
21.41,21.17,0,0
21.99,21.17,0,0
22.57,21.17,0,0
23.15,21.17,0,0
23.73,21.17,0,0
24.31,21.17,0,0
24.89,21.17,0,0
25.46,21.17,0,0
26.04,21.17,0,0
26.62,21.17,0,0
27.20,21.17,0,0
27.78,21.17,0,0
28.36,21.17,0,0
28.94,21.17,0,0
29.52,21.17,0,0
30.10,21.17,0,0
30.68,21.17,0,0
31.26,21.17,0,0
31.84,21.17,0,0
32.42,21.17,0,0
33.00,21.17,0,0
33.58,21.17,0,0
34.16,21.17,0,0
34.74,21.17,0,0
35.32,21.17,0,0
35.90,21.17,0,0
36.48,21.17,0,0
37.06,21.17,0,0
37.64,21.17,0,0
38.22,21.17,0,0
38.80,21.17,0,0
39.38,21.17,0,0
39.96,21.17,0,0
40.54,21.17,0,0
41.12,21.17,0,0
41.70,21.17,0,0
42.27,21.17,0,0
42.85,21.17,0,0
43.43,21.17,0,0
44.01,21.17,0,0
44.59,21.17,0,0
45.17,21.17,0,0
45.75,21.17,0,0
46.33,21.17,0,0
46.91,21.17,0,0
47.49,21.17,0,0
48.07,21.17,0,0
48.65,21.17,0,0
49.23,21.17,0,0
49.81,21.17,0,0
50.39,21.17,0,0
50.97,21.17,0,0
51.55,21.17,0,0
52.13,21.17,0,0
52.71,21.17,0,0
53.29,21.17,0,0
53.87,21.17,0,0
54.45,21.17,0,0
55.03,21.17,0,0
55.61,21.17,0,0
56.19,21.17,0,0
56.77,21.17,0,0
57.35,21.17,0,0
57.92,21.17,0,0
58.50,21.17,0,0
59.08,21.17,0,0
59.66,21.17,0,0
60.24,21.17,0,0
60.82,21.17,0,0
61.40,21.17,0,0
61.98,21.17,0,0
62.56,21.17,0,0
63.14,21.17,0,0
63.72,21.17,0,0
64.30,21.17,0,0
64.88,21.17,0,0
65.46,21.17,0,0
66.04,21.17,0,0
66.62,21.17,0,0
67.20,21.17,0,0
67.78,21.17,0,0
68.36,21.17,0,0
68.94,21.17,0,0
69.52,21.17,0,0
70.10,21.17,0,0
70.68,21.17,0,0
71.26,21.17,0,1
71.83,21.17,0,1
72.41,21.17,0,1
72.99,21.17,0,1
73.57,21.17,0,1
74.15,21.17,0,1
74.73,21.17,0,1
75.31,21.17,0,1
75.89,21.17,0,1
76.47,21.17,0,1
77.05,21.17,0,1
77.63,21.17,0,1
78.21,21.17,0,1
78.79,21.17,0,1
79.37,21.17,0,1
79.95,21.17,0,1
80.53,21.17,0,0
81.11,21.17,0,0
81.69,21.17,0,0
82.27,21.17,0,0
82.85,21.17,0,0
83.43,21.17,0,0
84.01,21.17,0,0
84.59,21.17,0,1
85.17,21.17,0,1
85.75,21.17,0,1
86.32,21.17,0,1
86.90,21.17,0,1
87.48,21.17,0,1
88.06,21.17,0,1
88.64,21.17,0,1
89.22,21.17,0,1
89.80,21.17,0,1
90.38,21.17,0,1
90.96,21.17,0,1
91.54,21.17,0,1
92.12,21.17,0,1
92.70,21.17,0,1
93.28,21.17,0,1
93.86,21.17,0,1
94.44,21.17,0,1
95.02,21.17,0,1
95.60,21.17,0,1
96.18,21.17,0,1
96.76,21.17,0,1
97.34,21.17,0,1
97.92,21.17,0,1
98.50,21.17,0,1
99.08,21.17,0,1
99.66,21.17,0,1
100.24,21.17,0,1
100.82,21.17,0,1
101.40,21.17,0,1
101.98,21.17,0,1
102.56,21.17,0,1
103.14,21.17,0,1
103.72,21.17,0,1
104.30,21.17,0,1
104.88,21.17,0,1
105.46,21.17,0,1
106.04,21.17,0,1
106.62,21.17,0,1
107.20,21.17,0,1
107.79,21.17,0,1
108.36,21.17,0,1
108.95,21.17,0,1
109.53,21.17,0,1
110.11,21.17,0,1
110.69,21.17,0,1
111.27,21.17,0,1
111.85,21.17,0,1
112.43,21.17,0,1
113.01,21.17,0,1
113.59,21.17,0,1
114.17,21.17,0,1
114.75,21.17,0,1
115.33,21.17,0,1
115.91,21.17,0,1
116.50,21.17,0,1
117.07,21.17,0,1
117.66,21.17,0,1
118.24,21.17,0,1
118.82,21.17,0,1
119.40,21.18,0,1
119.98,21.17,0,1
120.56,21.17,0,1
121.14,21.17,0,1
121.72,21.17,0,1
122.30,21.17,0,1
122.88,21.18,0,1
123.46,21.18,0,1
124.04,21.17,0,1
124.62,21.17,0,1
125.20,21.18,0,1
125.79,21.18,0,1
126.37,21.18,0,1
126.95,21.17,0,1
127.53,21.17,0,1
128.11,21.18,0,1
128.69,21.18,0,1
129.27,21.18,0,1
129.85,21.17,0,1
130.43,21.17,0,1
131.01,21.18,0,1
131.59,21.17,0,1
132.17,20.89,0,1
132.75,21.19,0,1
133.34,21.17,0,1
133.91,21.23,0,1
134.50,21.25,0,1
135.08,21.25,0,1
135.66,21.25,0,1
136.24,21.25,0,1
136.82,21.25,0,1
137.40,21.25,0,1
137.98,21.24,0,1
138.56,21.25,0,1
139.14,21.32,0,1
139.72,21.34,0,1
140.30,21.33,0,1
140.88,21.33,0,1
141.46,21.32,0,1
142.04,21.32,0,1
142.62,21.32,0,1
143.20,21.32,0,1
143.78,21.32,0,1
144.36,21.32,0,1
144.94,21.32,0,1
145.52,21.32,0,1
146.11,21.32,0,1
146.69,21.32,0,1
147.27,21.31,0,1
147.85,21.28,0,1
148.43,21.26,0,1
149.01,21.25,0,1
149.59,21.25,0,1
150.17,21.25,0,1
150.75,21.25,0,1
151.33,21.25,0,1
151.91,21.25,0,1
152.49,21.25,0,1
153.07,21.25,0,1
153.65,21.25,0,1
154.23,21.25,0,1
154.81,21.25,0,1
155.39,21.25,0,1
155.97,21.25,0,1
156.55,21.25,0,1
157.13,21.25,0,1
157.72,21.25,0,1
158.30,21.25,0,1
158.88,21.25,0,1
159.46,21.25,0,1
160.04,21.25,0,1
