time_s,temperature_C,pwm,heat_cool,safety,heat_pwm_firmware,cool_pwm_firmware,limit_C
0.56,23.06,0,0,OK,0,0,30.00
1.07,23.06,0,0,OK,0,0,30.00
1.57,23.06,0,0,OK,0,0,30.00
2.08,23.06,0,0,OK,0,0,30.00
2.58,23.06,0,0,OK,0,0,30.00
3.09,23.06,0,0,OK,0,0,30.00
3.59,23.06,0,0,OK,0,0,30.00
4.09,23.06,0,0,OK,0,0,30.00
4.60,23.06,0,0,OK,0,0,30.00
5.10,23.06,0,0,OK,0,0,30.00
5.61,23.06,0,0,OK,0,0,30.00
6.11,23.06,0,0,OK,0,0,30.00
6.62,23.06,0,0,OK,0,0,30.00
7.12,23.06,0,0,OK,0,0,30.00
7.63,23.06,0,0,OK,0,0,30.00
8.13,23.06,0,0,OK,0,0,30.00
8.64,23.06,0,0,OK,0,0,30.00
9.14,23.06,0,0,OK,0,0,30.00
9.65,23.06,0,0,OK,0,0,30.00
10.15,23.06,0,0,OK,0,0,30.00
10.66,23.06,0,0,OK,0,0,30.00
11.16,23.06,0,0,OK,0,0,30.00
11.67,23.06,0,0,OK,0,0,30.00
12.18,23.06,0,1,OK,0,0,30.00
12.68,23.06,0,1,OK,0,0,30.00
13.19,23.06,0,1,OK,0,0,30.00
13.69,23.06,0,1,OK,0,0,30.00
14.20,23.06,0,1,OK,0,0,30.00
14.70,23.06,0,1,OK,0,0,30.00
15.21,23.06,0,1,OK,0,0,30.00
15.72,23.06,11,1,OK,11,0,30.00
16.23,23.06,11,1,OK,11,0,30.00
16.73,23.07,11,1,OK,11,0,30.00
17.24,23.11,11,1,OK,11,0,30.00
17.75,23.15,11,1,OK,11,0,30.00
18.26,23.20,11,1,OK,11,0,30.00
18.76,23.24,11,1,OK,11,0,30.00
19.27,23.29,11,1,OK,11,0,30.00
19.78,23.34,11,1,OK,11,0,30.00
20.29,23.38,13,1,OK,13,0,30.00
20.80,23.43,83,1,OK,83,0,30.00
21.31,23.49,173,1,OK,173,0,30.00
21.82,23.71,173,1,OK,173,0,30.00
22.33,24.16,173,1,OK,173,0,30.00
22.84,24.76,173,1,OK,173,0,30.00
23.35,25.47,173,1,OK,173,0,30.00
23.86,26.22,173,1,OK,173,0,30.00
24.37,26.98,173,1,OK,173,0,30.00
24.88,27.75,173,1,OK,173,0,30.00
25.39,28.50,173,1,OK,173,0,30.00
25.90,29.24,173,1,OK,173,0,30.00
26.41,29.97,173,1,OK,173,0,30.00
26.92,30.67,0,1,SHUTDOWN,0,0,30.00
27.43,31.23,0,1,SHUTDOWN,0,0,30.00
27.94,31.52,0,1,SHUTDOWN,0,0,30.00
