time_s,temperature_C,pwm,heat_cool,safety,heat_pwm_firmware,cool_pwm_firmware,limit_C,low_limit_C
0.56,23.88,0,0,OK,0,0,60.00,10.00
1.09,23.87,0,0,OK,0,0,60.00,10.00
1.62,23.86,0,0,OK,0,0,60.00,10.00
2.15,23.84,0,0,OK,0,0,60.00,10.00
2.67,23.83,0,0,OK,0,0,60.00,10.00
3.20,23.82,0,0,OK,0,0,60.00,10.00
3.73,23.81,0,0,OK,0,0,60.00,10.00
4.26,23.80,0,0,OK,0,0,60.00,10.00
4.78,23.79,0,0,OK,0,0,60.00,10.00
5.31,23.78,0,0,OK,0,0,60.00,10.00
5.84,23.77,0,0,OK,0,0,60.00,10.00
6.37,23.76,0,0,OK,0,0,60.00,10.00
6.89,23.75,0,0,OK,0,0,60.00,10.00
7.42,23.74,0,0,OK,0,0,60.00,10.00
7.95,23.73,0,0,OK,0,0,60.00,10.00
8.48,23.72,0,0,OK,0,0,60.00,10.00
9.00,23.71,0,0,OK,0,0,60.00,10.00
9.53,23.70,0,0,OK,0,0,60.00,10.00
10.06,23.69,0,0,OK,0,0,60.00,10.00
10.59,23.68,0,0,OK,0,0,60.00,10.00
11.12,23.67,0,0,OK,0,0,60.00,10.00
11.65,23.66,0,0,OK,0,0,60.00,10.00
12.17,23.65,0,0,OK,0,0,60.00,10.00
12.70,23.64,0,0,OK,0,0,60.00,10.00
13.23,23.64,0,0,OK,0,0,60.00,10.00
13.76,23.63,0,0,OK,0,0,60.00,10.00
14.29,23.62,0,0,OK,0,0,60.00,10.00
14.82,23.61,0,0,OK,0,0,60.00,10.00
15.35,23.60,0,0,OK,0,0,60.00,10.00
15.88,23.59,0,0,OK,0,0,60.00,10.00
16.40,23.58,0,0,OK,0,0,60.00,10.00
16.93,23.57,0,0,OK,0,0,60.00,10.00
17.46,23.57,0,0,OK,0,0,60.00,10.00
17.99,23.56,0,0,OK,0,0,60.00,10.00
18.52,23.55,0,0,OK,0,0,60.00,10.00
19.05,23.54,0,0,OK,0,0,60.00,10.00
19.57,23.53,0,0,OK,0,0,60.00,10.00
20.10,23.52,0,0,OK,0,0,60.00,10.00
20.63,23.51,0,0,OK,0,0,60.00,10.00
21.16,23.50,0,0,OK,0,0,60.00,10.00
21.69,23.50,0,0,OK,0,0,60.00,10.00
22.22,23.49,0,0,OK,0,0,60.00,10.00
22.75,23.48,0,0,OK,0,0,60.00,10.00
23.28,23.47,0,0,OK,0,0,60.00,10.00
