time_s,temperature_C,pwm,heat_cool,safety,heat_pwm_firmware,cool_pwm_firmware,limit_C,low_limit_C,operating_high_C
0.56,22.66,0,0,OK,0,0,60.00,10.00,45.00
1.12,22.66,0,0,OK,0,0,60.00,10.00,45.00
1.67,22.66,0,0,OK,0,0,60.00,10.00,45.00
2.23,22.66,0,0,OK,0,0,60.00,10.00,45.00
2.79,22.65,0,0,OK,0,0,60.00,10.00,45.00
3.34,22.65,0,0,OK,0,0,60.00,10.00,45.00
3.90,22.64,0,0,OK,0,0,60.00,10.00,45.00
4.45,22.65,0,0,OK,0,0,60.00,10.00,45.00
5.01,22.64,0,0,OK,0,0,60.00,10.00,45.00
5.56,22.65,0,0,OK,0,0,60.00,10.00,45.00
6.12,22.64,0,0,OK,0,0,60.00,10.00,45.00
6.68,22.64,0,0,OK,0,0,60.00,10.00,45.00
7.23,22.63,0,0,OK,0,0,60.00,10.00,45.00
7.79,22.63,0,0,OK,0,0,60.00,10.00,45.00
8.34,22.63,0,0,OK,0,0,60.00,10.00,45.00
8.90,22.62,0,0,OK,0,0,60.00,10.00,45.00
9.45,22.62,0,0,OK,0,0,60.00,10.00,45.00
10.01,22.62,0,0,OK,0,0,60.00,10.00,45.00
10.57,22.62,0,0,OK,0,0,60.00,10.00,45.00
11.12,22.61,0,0,OK,0,0,60.00,10.00,45.00
11.68,22.61,0,0,OK,0,0,60.00,10.00,45.00
12.24,22.61,0,0,OK,0,0,60.00,10.00,45.00
12.79,22.61,0,0,OK,0,0,60.00,10.00,45.00
13.35,22.61,0,0,OK,0,0,60.00,10.00,45.00
13.91,22.61,0,0,OK,0,0,60.00,10.00,45.00
14.46,22.60,0,0,OK,0,0,60.00,10.00,45.00
15.02,22.60,0,0,OK,0,0,60.00,10.00,45.00
15.58,22.60,0,0,OK,0,0,60.00,10.00,45.00
16.13,22.60,0,0,OK,0,0,60.00,10.00,45.00
16.69,22.60,0,0,OK,0,0,60.00,10.00,45.00
17.25,22.60,0,0,OK,0,0,60.00,10.00,45.00
17.80,22.59,0,0,OK,0,0,60.00,10.00,45.00
18.36,22.59,0,0,OK,0,0,60.00,10.00,45.00
18.92,22.59,0,0,OK,0,0,60.00,10.00,45.00
19.47,22.58,0,0,OK,0,0,60.00,10.00,45.00
20.03,22.58,0,0,OK,0,0,60.00,10.00,45.00
20.59,22.58,0,0,OK,0,0,60.00,10.00,45.00
21.14,22.58,0,0,OK,0,0,60.00,10.00,45.00
21.70,22.58,0,0,OK,0,0,60.00,10.00,45.00
22.26,22.57,0,0,OK,0,0,60.00,10.00,45.00
22.81,22.58,0,0,OK,0,0,60.00,10.00,45.00
23.37,22.57,0,0,OK,0,0,60.00,10.00,45.00
23.93,22.57,0,0,OK,0,0,60.00,10.00,45.00
24.48,22.57,0,0,OK,0,0,60.00,10.00,45.00
25.04,22.56,0,0,OK,0,0,60.00,10.00,45.00
25.60,22.56,0,0,OK,0,0,60.00,10.00,45.00
26.16,22.56,0,0,OK,0,0,60.00,10.00,45.00
26.71,22.56,0,0,OK,0,0,60.00,10.00,45.00
27.27,22.56,0,0,OK,0,0,60.00,10.00,45.00
27.83,22.55,0,0,OK,0,0,60.00,10.00,45.00
28.38,22.55,0,0,OK,0,0,60.00,10.00,45.00
28.94,22.55,0,0,OK,0,0,60.00,10.00,45.00
29.50,22.55,0,0,OK,0,0,60.00,10.00,45.00
30.05,22.55,0,0,OK,0,0,60.00,10.00,45.00
30.61,22.55,0,0,OK,0,0,60.00,10.00,45.00
31.17,22.55,0,0,OK,0,0,60.00,10.00,45.00
31.72,22.54,0,0,OK,0,0,60.00,10.00,45.00
32.28,22.54,0,0,OK,0,0,60.00,10.00,45.00
32.84,22.54,0,0,OK,0,0,60.00,10.00,45.00
33.39,22.54,0,0,OK,0,0,60.00,10.00,45.00
33.95,22.53,0,0,OK,0,0,60.00,10.00,45.00
34.51,22.53,0,0,OK,0,0,60.00,10.00,45.00
35.06,22.53,0,0,OK,0,0,60.00,10.00,45.00
35.62,22.53,0,0,OK,0,0,60.00,10.00,45.00
36.18,22.52,0,0,OK,0,0,60.00,10.00,45.00
36.73,22.52,0,0,OK,0,0,60.00,10.00,45.00
37.29,22.53,0,0,OK,0,0,60.00,10.00,45.00
37.85,22.52,0,0,OK,0,0,60.00,10.00,45.00
38.40,22.51,0,0,OK,0,0,60.00,10.00,45.00
38.96,22.52,0,0,OK,0,0,60.00,10.00,45.00
39.52,22.51,0,0,OK,0,0,60.00,10.00,45.00
40.08,22.51,0,0,OK,0,0,60.00,10.00,45.00
40.63,22.51,0,0,OK,0,0,60.00,10.00,45.00
41.19,22.51,0,0,OK,0,0,60.00,10.00,45.00
41.75,22.51,0,0,OK,0,0,60.00,10.00,45.00
42.30,22.51,0,0,OK,0,0,60.00,10.00,45.00
42.86,22.51,0,0,OK,0,0,60.00,10.00,45.00
43.42,22.50,0,0,OK,0,0,60.00,10.00,45.00
43.97,22.50,0,0,OK,0,0,60.00,10.00,45.00
44.53,22.50,0,0,OK,0,0,60.00,10.00,45.00
