time_s,temperature_C,pwm,heat_cool
0.56,26.89,1,1
1.14,26.89,1,1
1.72,26.89,1,1
2.30,26.89,1,1
2.88,26.89,1,1
3.45,26.89,1,1
4.03,26.89,1,1
4.61,26.89,1,1
5.19,26.89,1,1
5.77,26.89,1,1
6.35,26.89,1,1
6.93,26.89,1,1
7.50,26.89,1,1
8.08,26.88,1,1
8.66,26.87,1,1
9.24,26.85,1,1
9.82,26.84,1,1
10.40,26.83,1,1
10.98,26.82,1,1
11.56,26.82,1,1
12.14,26.82,1,1
12.72,26.82,1,1
13.30,26.82,1,1
13.88,26.82,1,1
14.45,26.82,1,1
15.03,26.82,1,1
15.61,26.82,1,1
16.19,26.82,1,1
16.77,26.82,1,1
17.35,26.82,1,1
17.93,26.82,1,1
18.51,26.82,1,1
19.09,26.81,1,1
19.67,26.82,1,1
20.25,26.81,1,1
20.83,26.81,1,1
21.41,26.82,1,1
21.99,26.81,1,1
22.57,26.81,1,1
23.15,26.81,1,1
23.73,26.82,1,1
24.31,26.82,1,1
24.89,26.81,1,1
25.47,26.81,1,1
26.05,26.81,1,1
26.63,26.81,1,1
27.21,26.81,1,1
27.79,26.81,1,1
28.37,26.81,1,1
28.95,26.81,1,1
29.53,26.81,1,1
30.11,26.81,1,1
30.69,26.81,1,1
31.26,26.81,1,1
31.84,26.81,1,1
32.42,26.81,1,1
33.01,26.81,1,1
33.59,26.81,1,1
34.16,26.81,1,1
34.74,26.81,1,1
35.32,26.81,1,1
35.90,26.81,1,1
36.48,26.81,1,1
37.06,26.81,1,1
37.64,26.81,1,1
38.22,26.81,1,1
38.80,26.81,1,1
39.38,26.81,1,1
39.96,26.81,1,1
40.54,26.81,1,1
41.12,26.81,1,1
41.70,26.81,1,1
42.28,26.81,1,1
42.86,26.81,1,1
43.44,26.81,1,1
44.02,26.81,1,1
44.60,26.81,1,1
45.18,26.80,1,1
45.76,26.80,1,1
46.34,26.80,1,1
46.92,26.79,1,1
47.50,26.79,1,1
48.08,26.78,1,1
48.66,26.77,1,1
49.24,26.76,1,1
49.82,26.75,1,1
50.40,26.75,1,1
50.97,26.75,1,1
51.56,26.74,1,1
52.13,26.74,1,1
52.71,26.74,1,1
53.29,26.74,1,1
53.87,26.74,1,1
54.45,26.74,1,1
55.03,26.74,1,1
55.61,26.74,1,1
56.19,26.74,1,1
56.77,26.74,1,1
57.35,26.74,1,1
57.93,26.74,1,1
58.51,26.74,1,1
59.09,26.74,1,1
59.67,26.74,1,1
60.25,26.74,1,1
